BUSINESS,BUSINESS_TAGS,TIME,WEEKDAY,OCCURRENCE_TYPES,NEIGHBORHOOD,ADDRESS_STREET,ADDRESS_UNIT,ADDRESS_CITY,ADDRESS_STATE,ADDRESS_ZIP,PRIZE_1_TYPE,PRIZE_1_AMOUNT,PRIZE_2_TYPE,PRIZE_2_AMOUNT,PRIZE_3_TYPE,PRIZE_3_AMOUNT,HOST,EVENT_TYPE,Full Address,Latitude,Longitude
TIN CAN BAR,"RESTAURANT,BAR",6:00 PM,MONDAY,,PORT RICHMOND,2537 E SOMERSET ST,,PHILADELPHIA,PA,19134,GIFT_CARD,50.0,,,,,ELI'S QUIZZO REVIVAL,QUIZZO,"2537 E SOMERSET ST, PHILADELPHIA, PA, 19134",39.981572,-75.1135922
THE SHIPYARD BAR,"RESTAURANT,BAR",7:00 PM,WEDNESDAY,,PORT RICHMOND,2537 E ONTARIO ST,,PHILADELPHIA,PA,19134,GIFT_CARD,50.0,,,,,ELI'S QUIZZO REVIVAL,QUIZZO,"2537 E ONTARIO ST, PHILADELPHIA, PA, 19134",39.9887699,-75.0994413
NATIONAL MECHANICS,"RESTAURANT,BAR",8:00 PM,WEDNESDAY,,OLD CITY,22 S 3RD STREET,,PHILADELPHIA,PA,19106,,,,,,,EZALMIGHTY,QUIZZO,"22 S 3RD STREET, PHILADELPHIA, PA, 19106",39.9495672,-75.1461515
THE AMBASSADOR,"RESTAURANT,BAR",8:00 PM,TUESDAY,"SECOND_OF_MONTH,FOURTH_OF_MONTH",KENSINGTON,635 W GIRARD AVE,,PHILADELPHIA,PA,19123,GIFT_CARD,50.0,,,,,HTOTHEQUIZZO,MUSIC_QUIZZO,"635 W GIRARD AVE, PHILADELPHIA, PA, 19123",39.9708105,-75.1479598
HILLTOWN TAVERN,"RESTAURANT,BAR",8:00 PM,THURSDAY,,FAIRMOUNT,795 N 24TH ST,,PHILADELPHIA,PA,19130,,,,,,,HTOTHEQUIZZO,MUSIC_QUIZZO,"795 N 24TH ST, PHILADELPHIA, PA, 19130",39.9698013,-75.1762835
SUTTON'S,"RESTAURANT,BAR",8:00 PM,WEDNESDAY,,KENSINGTON,1706 N 5TH ST,,PHILADELPHIA,PA,19122,CASH,50.0,CASH,25.0,,,JAWNYQ,QUIZZO,"1706 N 5TH ST, PHILADELPHIA, PA, 19122",39.9771583,-75.1436783
NEW WAVE CAFE,"RESTAURANT,BAR",8:00 PM,MONDAY,,BELLA VISTA,784 S 3RD ST,,PHILADELPHIA,PA,19147,CASH,50.0,CASH,25.0,,,JAWNYQ,QUIZZO,"784 S 3RD ST, PHILADELPHIA, PA, 19147",39.9381255,-75.148436
STRANGELOVE'S,"RESTAURANT,BAR",8:00 PM,MONDAY,,CENTER CITY,216 S 11TH STREET,,PHILADELPHIA,PA,19107,GIFT_CARD,40.0,,,,,JB,QUIZZO,"216 S 11TH STREET, PHILADELPHIA, PA, 19107",39.9480826,-75.1592322
ERA,"RESTAURANT,BAR",8:00 PM,WEDNESDAY,,BREWERYTOWN,2743 POPLAR ST,,PHILADELPHIA,PA,19130,,,,,,,JB,QUIZZO,"2743 POPLAR ST, PHILADELPHIA, PA, 19130",39.9731507,-75.1819923
JOHN HENRY ARDMORE,"RESTAURANT,BAR",9:00 PM,FRIDAY,,,98 CRICKET AVE,,ARDMORE,PA,19003,,,,,,,JOHNNY CHEESETEAK,QUIZZO,"98 CRICKET AVE, ARDMORE, PA, 19003",40.0067884,-75.2932395
