Name,Address,RW_URL,Website,RW_PHOTO,RW_DETAILS,RW_DEALS,RW_MENU,RESERVATION_LINK
The Hayes,"1123 Walnut Street, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#the-hayes,http://www.thehayesphl.com,https://centercityphila.org/uploads/attachments/ciyahjvr50iafu5qdu5tzls7x-restaurant-week-sips-filler-image.0.0.720.720.full.jpg,Participating in lunch and dinner. Offering indoor dining. Closed Monday. ,$45 DINNER | $20 LUNCH,https://centercityphila.org/uploads/attachments/clr52t2ke1shfw0qdjjt2v3k5-the-hayes-dinner.pdf,
Iron Hill Brewery & Restaurant,"1150 Market Street, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#iron-hill-brewery-restaurant,https://ironhillbrewery.com/location/philadelphia-pa,https://centercityphila.org/uploads/attachments/cjqsixkty3k2bpbqd2pvxv7h6-ironhillpic.0.0.585.585.full.jpg, Participating in lunch and dinner. Offering indoor and outdoor dining. ,$45 dinner menu coming soon.,,https://www.opentable.com/restaurant/profile/1017319/reserve?ref=939
Jasmine Rice Rittenhouse,"306 South 16th St, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#jasmine-rice-rittenhouse,http://www.jasminericephilly.com,https://centercityphila.org/uploads/attachments/ck0dv2oit05f0aaqd103w6fr9-jasmine-rice.0.0.719.719.full.png," Participating in lunch, dinner and takeout. Offering indoor dining. BYOB. For a party of 6 or more, please call the restaurant directly. ",$45 DINNER AND $20 LUNCH,https://centercityphila.org/uploads/attachments/clr1371a91ldaafqdudnaound-jasminel-d.pdf,https://www.opentable.com/restaurant/profile/1158349/reserve?ref=939
Jomon Yakiniku & Shabu Shabu,"1310 Walnut Street, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#jomon-japanese-bb,https://jomonbbq.com,https://centercityphila.org/uploads/attachments/clcv10985t24ks5qdcobvp3z6-signature-black-background.965.0.3861.3861.full.jpg,Participating in lunch and dinner. Offering indoor dining. Family style menu available. ,$45 DINNER AND $20 LUNCH,https://centercityphila.org/uploads/attachments/clpu4b2wo01l4w0qdvaqedpxk-jomon-japanese-bbq.pdf,
Kook Burger & Bar,"2102 Market St., Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#kook-burger-bar,https://www.kookburgerbar.com,https://centercityphila.org/uploads/attachments/clidm04v373vvypqdvlw21ad3-kookburger.0.262.1290.1290.full.jpg,Participating in lunch and dinner. Offering indoor and outdoor dining. Parties larger than 8 must call restaurant for reservations on weekends. ,$45 DINNER | $20 LUNCH,https://centercityphila.org/uploads/attachments/clr7xd5901x0bhjqdati9oem4-kook-burger-dinner.pdf,https://www.opentable.com/restaurant/profile/1276678/reserve?ref=939
Koto Sushi,"719 Sansom St, Philadelphia, PA 19106",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#koto-sushi,http://www.kotosushipa.com,https://centercityphila.org/uploads/attachments/cl769xlu32ardtvqd8f1xm3pa-koto-sushi.197.68.829.829.full.jpg,"Participating in lunch, dinner and takeout. Offering indoor seating ",$45 DINNER AND $20 LUNCH,https://centercityphila.org/uploads/attachments/clr9c531x1z1qxwqd3msha1mp-koto.pdf,https://www.opentable.com/restaurant/profile/995407/reserve?ref=939
La Famiglia Ristorante,"8 S Front St, Philadelphia, PA 19106",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#la-famiglia-ristorante,http://www.lafamiglia.com,https://centercityphila.org/uploads/attachments/cj62hmy7m00sfp7qdx1nn0yw0-la-famiglia-rw.0.0.1200.1200.full.jpg, Participating in dinner and takeout. Offering indoor dining. Closed Sunday and Monday. ,$45 DINNER | COCKTAILS,https://centercityphila.org/uploads/attachments/clr8c43hh1xy83oqdxba6e8ru-lafamiglia.pdf,https://www.opentable.com/restaurant/profile/862/reserve?ref=939
La Fontana Della Citta,"1701 Spruce St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#la-fontana-della-citta,http://www.lafontanadellacitta.com,https://centercityphila.org/uploads/attachments/cl792igao2g0twgqdde288icj-la-fontana.0.298.1254.1254.full.jpg,Participating in lunch and dinner. Offering indoor and outdoor dining. BYOB. RESTAURANT WEEK MENUS: $45 DINNER | $20 LUNCH ,,https://centercityphila.org/uploads/attachments/clqb17wlr0mmpc3qdnpkrogef-la-fontana-della-citta-dinner.pdf,https://www.opentable.com/restaurant/profile/20362/reserve?ref=939
La Nonna,"214 South St, Philadelphia, PA 19147",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#la-nonna,https://www.ristorantelanonna.com,https://centercityphila.org/uploads/attachments/cj62hqytr00tpppqde7gqpig2-la-nonna-rw.0.0.1200.1200.full.jpg,Participating in dinner only. Offering indoor dining BYOB. ,$45 DINNER,https://centercityphila.org/uploads/attachments/clr9o2xv51zxy3oqdyeanaw1k-la-nonna.pdf,
La Viola Bistro,"253 S 16th St, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#la-viola-bistro,http://laviolaphiladelphia.com,https://centercityphila.org/uploads/attachments/cksudwvx81gpdlxqdgq7coqxc-laviola-bistro.215.0.853.853.full.jpg," Participating in lunch, dinner and takeout. Offering indoor and outdoor dining. BYOB. RESTAURANT WEEK MENUS: $45 DINNER | $20 LUNCH ",,https://centercityphila.org/uploads/attachments/clr7wwgrd1xhrw0qdtd9sqt69-lavioladinner-1.pdf,https://www.opentable.com/r/la-viola-bistro-philadelphia?ref=939#reserve
La Viola Ovest,"252 S 16th St, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#la-viola-ovest,http://laviolaphiladelphia.com,https://centercityphila.org/uploads/attachments/cll3rd6tfa989wnqdd4rm0gnj-la-viola-west.0.157.1282.1282.full.jpg," Participating in lunch, dinner and takeout. Offering indoor and outdoor dining. BYOB. RESTAURANT WEEK MENUS: $45 DINNER | $20 LUNCH ",,https://centercityphila.org/uploads/attachments/clr7wwgrd1xhrw0qdtd9sqt69-lavioladinner-1.pdf,https://www.opentable.com/restaurant/profile/224713/reserve?ref=939
Las Bugambilias,"15 S 3rd St, Philadelphia, PA 19106",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#las-bugambilia,https://lasbugambiliasphilly.com,https://centercityphila.org/uploads/attachments/clph25dhy1i9to6qdozab4wd4-lasbugambilias.590.0.1544.1544.full.jpg,"Participating in lunch, dinner and takeout. Offering indoor and outdoor dining. ",$45 DINNER | $20 LUNCH,https://centercityphila.org/uploads/attachments/clpvbbkmj02teafqdvo03a1hu-las-bugambilias-dinner.pdf,
LaScala's Fire,"615 Chestnut St, Philadelphia, PA 19106",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#lascalas,http://www.lascalasphilly.com,https://centercityphila.org/uploads/attachments/cktbyajgy1yvcojqduvwwsrrl-lascala.748.0.3273.3273.full.jpg, Participating in dinner only. Offering indoor and outdoor dining. ,$45 DINNER,https://centercityphila.org/uploads/attachments/clr7wqn1g1wtkafqdm0rvggn0-lascala.pdf,https://www.opentable.com/restaurant/profile/7365/reserve?ref=939
Libertine,"261 S. 13th St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#libertine,http://www.libertinephilly.com,https://centercityphila.org/uploads/attachments/cjw9uytqc216vukqdkqrzayqy-phil0354.666.0.2667.2667.full.jpg,Participating in dinner only. Closed for dinner on Sunday and Monday. Offering indoor and outdoor dining. ,$45 DINNER,https://centercityphila.org/uploads/attachments/clqyahqj41h6xhjqd9e58bs36-libertine.pdf,https://www.opentable.com/restaurant/profile/991582/reserve?ref=939
Little Nonna's,"1234 Locust St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#little-nonna-s,http://www.littlenonnas.com,https://centercityphila.org/uploads/attachments/ciua7xjbo000ie2qdsi4w16ub-little-nonna-s-interior-2922-final-credit-jason-varney.0.53.618.618.full.jpg,Participating in dinner and takeout. Offering indoor and outdoor dining. ,$45 dinner menu coming soon.,,
