BUSINESS,BUSINESS_TAGS,OCCURRENCE_TYPES,NEIGHBORHOOD,ADDRESS_STREET,ADDRESS_UNIT,ADDRESS_CITY,ADDRESS_STATE,ADDRESS_ZIP,Full Address,Latitude,Longitude,TIME,WEEKDAY,PRIZE_1_TYPE,PRIZE_1_AMOUNT,PRIZE_2_TYPE,PRIZE_2_AMOUNT,PRIZE_3_TYPE,PRIZE_3_AMOUNT,HOST,EVENT_TYPE
PJ'S HADDON TWP,"RESTAURANT,BAR",,,700 N HADDON AVE,,HADDONFIELD,NJ,8033.0,"700 N HADDON AVE, HADDONFIELD, NJ, 8033",39.9047714,-75.0420737,8:00 PM,TUESDAY,,,,,,,,QUIZZO
PJ'S HATFIELD,"RESTAURANT,BAR",,,190 FORTY FOOT RD,,HATFIELD,PA,19440.0,"190 FORTY FOOT RD, HATFIELD, PA, 19440",40.2673752,-75.3158156,8:00 PM,WEDNESDAY,,,,,,,THE QUIZZO GUYS,QUIZZO
PJ'S HORSHAM,"RESTAURANT,BAR",,,101 EASTON RD,SUITE 300,HORSHAM,PA,19044.0,"101 EASTON RD, SUITE 300, HORSHAM, PA, 19044",40.0999984,-75.1539136,8:00 PM,TUESDAY,,,,,,,THE QUIZZO GUYS,QUIZZO
PJ'S NEWTOWN SQUARE,"RESTAURANT,BAR",,,4803 WEST CHESTER PIKE,,NEWTOWN SQUARE,PA,19073.0,"4803 WEST CHESTER PIKE, NEWTOWN SQUARE, PA, 19073",39.9767167,-75.4382878,7:30 PM,TUESDAY,,,,,,,DJMUVE,QUIZZO
PJ'S OAKS,"RESTAURANT,BAR",,,180 MILL RD,,OAKS,PA,19456.0,"180 MILL RD, OAKS, PA, 19456",40.1292868,-75.4530876,8:30 PM,WEDNESDAY,,,,,,,THE QUIZZO GUYS,QUIZZO
PJ'S PUB HADDON TWP,,,"HADDON TWP, NJ",,,,,,,,,7:00 PM,,,,,,,,,
PJ'S WEST CHESTER,"RESTAURANT,BAR",,,1347 WILMINGTON PIKE,,WEST CHESTER,PA,19382.0,"1347 WILMINGTON PIKE, WEST CHESTER, PA, 19382",39.903188,-75.5643383,7:45 PM,TUESDAY,,,,,,,THOMPSON ENT,QUIZZO
PUNCH BUGGY BREWING COMPANY,BREWERY,,FISHTOWN,1445 N AMERICAN ST,,PHILADELPHIA,PA,19122.0,"1445 N AMERICAN ST, PHILADELPHIA, PA, 19122",39.9736573,-75.1397376,7:30 PM,WEDNESDAY,,,,,,,SEAN MAGUIRE,QUIZZO
QUEEN & ROOK GAME CAFE,"RESTAURANT,BAR,BOARD_GAMES",,SOUTH PHILADELPHIA,607 S 2ND ST,,PHILADELPHIA,PA,19147.0,"607 S 2ND ST, PHILADELPHIA, PA, 19147",39.9408759,-75.145524,7:00 PM,THURSDAY,,,,,,,,QUIZZO
RYAN'S PUB,,,WEST CHESTER,,,,,,,,,8:30 PM,,,,,,,,MR QUIZZO,
