BUSINESS,BUSINESS_TAGS,OCCURRENCE_TYPES,NEIGHBORHOOD,ADDRESS_STREET,ADDRESS_UNIT,ADDRESS_CITY,ADDRESS_STATE,ADDRESS_ZIP,Full Address,Latitude,Longitude,TIME,WEEKDAY,PRIZE_1_TYPE,PRIZE_1_AMOUNT,PRIZE_2_TYPE,PRIZE_2_AMOUNT,PRIZE_3_TYPE,PRIZE_3_AMOUNT,HOST,EVENT_TYPE
LANSDALE TAVERN,"RESTAURANT,BAR",,,839 W MAIN ST,,LANSDALE,PA,19446.0,"839 W MAIN ST, LANSDALE, PA, 19446",40.2475391,-75.2934744,7:30 PM,MONDAY,,,,,,,,QUIZZO
LASCALA'S BIRRA,"RESTAURANT,BAR",,PASSYUNK,1700 E PASSYUNK AVE,,PHILADELPHIA,PA,19148.0,"1700 E PASSYUNK AVE, PHILADELPHIA, PA, 19148",39.9286303,-75.165139,8:00 PM,THURSDAY,,,,,,,JOHNNY GOODTIMES,QUIZZO
LOCAL 44,,,WEST PHILLY,4333 Spruce St,,,PA,19104.0,"4333 Spruce St, Philadelphia, PA 19104",39.952821,-75.210442,10:00 PM,,,,,,,,,
LOCO PEZ,"RESTAURANT,BAR,TAQUERIA",,GRADUATE HOSPITAL,700 S 20TH ST,,PHILADELPHIA,PA,19146.0,"700 S 20TH ST, PHILADELPHIA, PA, 19146",39.9439031,-75.1754641,7:00 PM,MONDAY,,,,,,,JOHNNY GOODTIMES,QUIZZO
LOVE CITY BREWING,"BREWERY,FOOD_TRUCKS",FIRST_OF_MONTH,CALLOWHILL,1023 HAMILTON ST,,PHILADELPHIA,PA,19123.0,"1023 HAMILTON ST, PHILADELPHIA, PA, 19123",39.9602868,-75.1552483,8:00 PM,WEDNESDAY,,,,,,,WILL WALKER,O
LOWER FORGE BREWERY,BREWERY,,,14 S MAIN ST,,MEDFORD,NJ,8055.0,"14 S MAIN ST, MEDFORD, NJ, 8055",39.8991599,-74.8237133,7:00 PM,THURSDAY,,,,,,,,QUIZZO
LUNACY BREWING COMPANY,BREWERY,"SECOND_OF_MONTH,FOURTH_OF_MONTH",,1500 W KINGS HWY,,HADDON HEIGHTS,NJ,8035.0,"1500 W KINGS HWY, HADDON HEIGHTS, NJ, 8035",39.88165,-75.07849,7:00 PM,THURSDAY,,,,,,,,QUIZZO
MAC'S TAVERN,,,OLD CITY,226 Market St,,,PA,19106.0,"226 Market St, Philadelphia, PA 19106",39.9497947692871,-75.1447372436523,8:00 PM,,,,,,,,,
MAGGIE'S WATERFRONT CAFE,"RESTAURANT,BAR",,TORRESDALE,9242 DELAWARE AVE,,PHILADELPHIA,PA,19114.0,"9242 DELAWARE AVE, PHILADELPHIA, PA, 19114",40.0436656,-74.9896264,8:00 PM,WEDNESDAY,,,,,,,KATIE DAVIS,QUIZZO
MANYUNK BREWING CO,,,MANAYUNK,4120 Main St,,,PA,19127.0,"4120 Main St, Philadelphia, PA 19127",40.022471,-75.2188,8:30 PM,,,,,,,,@QUIZZOBYSEAN,
MECHANICAL BREWERY,BREWERY,,,5 PERINA BLVD SUITE,800,CHERRY HILL,NJ,8003.0,"5 PERINA BLVD SUITE, 800, CHERRY HILL, NJ, 8003",39.90107159488436,-74.98447087425866,6:30 PM,THURSDAY,,,,,,,,QUIZZO
MEYERS BREWING COMPANY,BREWERY,,FISHTOWN,436 E GIRARD AVE,,PHILADELPHIA,PA,19125.0,"436 E GIRARD AVE, PHILADELPHIA, PA, 19125",39.9704195,-75.129135,7:30 PM,THURSDAY,,,,,,,,QUIZZO
MIDNIGHT OIL BREWING COMPANY,"BREWERY,RESTAURANT",,,74 PENCADER DR,,NEWARK,DE,19702.0,"74 PENCADER DR, NEWARK, DE, 19702",39.6119712,-75.7616813,7:00 PM,TUESDAY,,,,,,,,QUIZZO
MILKBOY SOUTH STREET,"RESTAURANT,BAR",,SOUTH STREET,401 SOUTH ST,,PHILADELPHIA,PA,19147.0,"401 SOUTH ST, PHILADELPHIA, PA, 19147",39.9417025,-75.1492453,7:00 PM,MONDAY,,,,,,,,QUIZZO
MISCONDUCT TAVERN JFK,"RESTAURANT,BAR",,CENTER CITY,1801 JOHN F KENNEDY BLVD,,PHILADELPHIA,PA,19103.0,"1801 JOHN F KENNEDY BLVD, PHILADELPHIA, PA, 19103",39.954295,-75.169931,7:00 PM,TUESDAY,,,,,,,LUNCH MONEY QUIZZO,QUIZZO
MISCONDUCT TAVERN RITTENHOUSE,"RESTAURANT,BAR",,RITTENHOUSE SQUARE,1511 LOCUST ST,,PHILADELPHIA,PA,19102.0,"1511 LOCUST ST, PHILADELPHIA, PA, 19102",39.9486784,-75.1665675,7:00 PM,WEDNESDAY,GIFT_CARD,100.0,,,,,LUNCH MONEY QUIZZO,QUIZZO
MISCONDUCT TAVERN UNIVERSITY CITY,"RESTAURANT,BAR",,UNIVERSITY CITY,3131 WALNUT ST,,PHILADELPHIA,PA,19104.0,"3131 WALNUT ST, PHILADELPHIA, PA, 19104",39.9523255,-75.186976,7:00 PM,WEDNESDAY,,,,,,,LUNCH MONEY QUIZZO,QUIZZO
