BUSINESS,TIME,WEEKDAY,NEIGHBORHOOD,PRIZE_1_AMOUNT,HOST,Full Address,EVENT_TYPE
ANIMATED BREWING,7:00 PM,WEDNESDAY,COATESVILLE,,,"COATESVILLE, PA",QUIZZO
STATE STREET PUB,9:00 PM,WEDNESDAY,MEDIA,,,"MEDIA, PA",QUIZZO
DUFFERS TAVERN,7:30 PM,WEDNESDAY,GLEN MILLS,,THOMPSON ENT,"192 MIDDLETOWN RD, GLEN MILLS PA 19342",QUIZZO
GRID IRON,7:45 PM,WEDNESDAY,ASTON,,THOMPSON ENT,"ASTON, PA",QUIZZO
STABLE 12,7:00 PM,WEDNESDAY,PHOENIXVILLE,,,"368 BRIDGE STREET, PHOENIXVILLE, PA 19460",QUIZZO
STOLEN SUN BREWING AND ROASTING,6:30 PM,WEDNESDAY,EXTON,,SHAMUS HALLORAN,"EXTON, PA",QUIZZO
SHADY BROOK FARM,7:00 PM,WEDNESDAY,YARDLEY,,EMILY AND JOE,"YARDLEY, PA",QUIZZO
"FINGERS, WINGS & OTHER THINGS",7:30 PM,THURSDAY,CONSHOHOCKEN,,,"107 W RIDGE PIKE, CONSHOHOCKEN, PA 19428",QUIZZO
VON C BREWING,7:00 PM,THURSDAY,NORRISTOWN,,MIKE ARGY,"NORRISTOWN, PA",QUIZZO
HUNT'S ANNEX,8:00 PM,THURSDAY,WOODLYN,,,"1311 MACDADE BLVD, WOODLYN, PA 19094",QUIZZO
RYAN'S PUB,8:30 PM,THURSDAY,WEST CHESTER,,MR QUIZZO,"WEST CHESTER, PA",QUIZZO
JD MCGILLICUDDY'S,8:00 PM,THURSDAY,BROOKLINE,,MUVE,"BROOKLINE, PA",QUIZZO
LOWER FORGE BREWING,7:00 PM,THURSDAY,"MEDFORD, NJ",,,MEDFORD NJ,QUIZZO
MANATAWNY STILLWORKS,8:00 PM,THURSDAY,ARDMORE,,@PHILLYQUIZZO,"ARDMORE, PA",QUIZZO
VILLIAGE IDIOT,7:00 PM,THURSDAY,"PENNSAUKEN, NJ",,THE QUIZ KIDS,PENNSAUKEN NJ,QUIZZO
5 WEST,7:00 PM,THURSDAY,"PALMYRA, NJ",,THE QUIZ KIDS,PALMYRA NJ,QUIZZO
LUNACY,7:00 PM,THURSDAY,"HADDONFIELD, NJ",,,HADDONFIELD NJ,QUIZZO
MECHANICAL BREWING,6:30 PM,THURSDAY,"CHERRY HILL, NJ",,,CHERRY HILL NJ,QUIZZO
WELL CRAFTED,7:30 PM,THURSDAY,AMBLER,,,"AMBLER, PA",QUIZZO
WEST END,730PM,THURSDAY,QUAKERTOWN,,,"QUAKERTOWN, PA",QUIZZO
PAPPOUS PIZZA PUB,8:00 PM,THURSDAY,MORTON,,,"415 BALTIMORE PIKE, MORTON, PA 19070",QUIZZO
HUMAN ROBOT JENKINTOWN,7:00 PM,WEDNESDAY,JENKINTOWN,,,"JENKINTOWN, PA",QUIZZO
STICKMAN BREWS,7:00 PM,THURSDAY,ROYERSFORD,,,"ROYERSFORD, PA",QUIZZO
